day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	1
1	12	0
1	13	4
1	14	0
1	15	0
1	16	5
1	17	0
1	18	13
1	19	4
1	20	0
1	21	11
1	22	6
1	23	3
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	11
2	6	0
2	7	0
2	8	4
2	9	0
2	10	2
2	11	24
2	12	0
2	13	5
2	14	3
2	15	0
2	16	2
2	17	0
2	18	3
2	19	1
2	20	5
2	21	14
2	22	31
2	23	21
2	24	0
3	1	0
3	2	0
3	3	0
3	4	1
3	5	0
3	6	0
3	7	6
3	8	8
3	9	0
3	10	0
3	11	23
3	12	41
3	13	2
3	14	14
3	15	27
3	16	12
3	17	28
3	18	6
3	19	1
3	20	0
3	21	15
3	22	79
3	23	0
3	24	2
4	1	4
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	57
4	11	3
4	12	3
4	13	0
4	14	3
4	15	6
4	16	2
4	17	0
4	18	3
4	19	6
4	20	18
4	21	22
4	22	1
4	23	6
4	24	3
5	1	51
5	2	0
5	3	0
5	4	0
5	5	4
5	6	0
5	7	0
5	8	4
5	9	5
5	10	30
5	11	34
5	12	5
5	13	0
5	14	4
5	15	6
5	16	0
5	17	58
5	18	44
5	19	5
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	8
6	2	14
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	10
6	12	41
6	13	31
6	14	16
6	15	87
6	16	185
6	17	13
6	18	11
6	19	13
6	20	32
6	21	0
6	22	4
6	23	15
6	24	14
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	4
7	10	3
7	11	1
7	12	0
7	13	3
7	14	57
7	15	162
7	16	28
7	17	30
7	18	166
7	19	145
7	20	19
7	21	0
7	22	27
7	23	11
7	24	31
